,iter ,BETA_0,GAMMA_0,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.5745312333514081,0.0709885231695323,-6.670367752849118,-6.670367752849118,0.5558639794040932,0.5558639794040932,0.001173795632245208,0.001173795632245208,4.151161499992597
1,1,0.5745312482525693,0.0709885231695323,-6.67036774918392,-6.670367752849118,0.55586397909866,0.5558639794040932,0.0011737956212138966,0.001173795632245208,4.151161494820364
2,2,0.5745312333514081,0.0709885380706935,-6.670367578088192,-6.670367752849118,0.5558639648406827,0.5558639794040932,0.0011737952851103729,0.001173795632245208,4.151161558804802
3,3,0.5533535243020776,-0.9387894250148304,-4.767245553878752,-6.670367752849118,0.3972704628232293,0.5558639794040932,0.0011865906091279286,0.0011865906091279286,5.980805290394979
4,4,0.5533535392032388,-0.9387894250148304,-4.7672455119718,-6.670367752849118,0.3972704593309833,0.5558639794040932,0.0011865906098126884,0.0011865906098126884,5.980805321978682
5,5,0.5533535243020776,-0.9387894101136692,-4.767245672327254,-6.670367752849118,0.39727047269393784,0.5558639794040932,0.0011865909014803669,0.0011865909014803669,5.980805408066271
6,6,0.5673806421444376,-0.2699600327134788,-9.702245983756304,-9.702245983756304,0.8085204986463587,0.8085204986463587,0.03921132043348947,0.03921132043348947,1.643623019485645
7,7,0.5673806570455988,-0.2699600327134788,-9.702245985808815,-9.702245985808815,0.8085204988174013,0.8085204988174013,0.03921132104058606,0.03921132104058606,1.643623057770398
8,8,0.5673806421444376,-0.2699600178123176,-9.70224593559284,-9.702245985808815,0.8085204946327367,0.8085204988174013,0.03921131800521916,0.03921132104058606,1.6436230540950447
9,9,0.8479751824359396,-0.4122294326102456,-9.157794243379275,-9.702245985808815,0.7631495202816062,0.8085204988174013,0.056667366350454725,0.056667366350454725,3.6175103935680113
10,10,0.8479751973371008,-0.4122294326102456,-9.157794198696042,-9.702245985808815,0.7631495165580034,0.8085204988174013,0.05666736552822289,0.056667366350454725,3.6175104728268934
11,11,0.8479751824359396,-0.4122294177090844,-9.157794298700846,-9.702245985808815,0.7631495248917372,0.8085204988174013,0.05666736585844158,0.056667366350454725,3.617510296786378
12,12,0.6260298796293781,-0.2996968615652344,-9.75789336183087,-9.75789336183087,0.8131577801525726,0.8131577801525726,0.04614822265917217,0.056667366350454725,1.8233117711972682
13,13,0.6260298945305393,-0.2996968615652344,-9.757893350836483,-9.75789336183087,0.8131577792363736,0.8131577801525726,0.04614822309104288,0.056667366350454725,1.823311835576888
14,14,0.6260298796293781,-0.2996968466640732,-9.75789333686475,-9.75789336183087,0.8131577780720626,0.8131577801525726,0.04614822024634952,0.056667366350454725,1.823311760506087
15,15,0.5598781802418586,-0.3376566203747852,-9.81583562457735,-9.81583562457735,0.8179863020481125,0.8179863020481125,0.048495701052058124,0.056667366350454725,1.6592450656791726
16,16,0.5598781951430198,-0.3376566203747852,-9.815835625087301,-9.815835625087301,0.8179863020906084,0.8179863020906084,0.04849570196812087,0.056667366350454725,1.6592451105959896
17,17,0.5598781802418586,-0.337656605473624,-9.815835622686977,-9.815835625087301,0.8179863018905814,0.8179863020906084,0.04849569932304327,0.056667366350454725,1.6592450132635008
18,18,0.5618321249785055,-0.34027854111172384,-9.816027509856411,-9.816027509856411,0.8180022924880342,0.8180022924880342,0.04891736918889822,0.056667366350454725,1.67476390951758
