,iter ,BETA_0,GAMMA_0,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.3753584325504997,0.09119039712749037,-7.393861239956597,-7.393861239956597,0.6161551033297165,0.6161551033297165,0.002821246812392012,0.002821246812392012,2.936799324140459
1,1,1.375358447451661,0.09119039712749037,-7.3938612556008545,-7.3938612556008545,0.6161551046334045,0.6161551046334045,0.0028212468653127263,0.0028212468653127263,2.93679930009867
2,2,1.3753584325504997,0.09119041202865157,-7.393861222192083,-7.3938612556008545,0.6161551018493402,0.6161551046334045,0.002821246741887353,0.0028212468653127263,2.9367992232172213
3,3,2.042868732512914,-0.6667871747333719,-7.201224018657394,-7.3938612556008545,0.6001020015547828,0.6161551046334045,0.015587658541974466,0.015587658541974466,5.432810895418569
4,4,2.042868747414075,-0.6667871747333719,-7.201224010564972,-7.3938612556008545,0.6001020008804143,0.6161551046334045,0.015587658713314037,0.015587658713314037,5.432810936832944
5,5,2.042868732512914,-0.6667871598322107,-7.201224105291586,-7.3938612556008545,0.6001020087742989,0.6161551046334045,0.01558766004425217,0.01558766004425217,5.432810795951234
6,6,1.7152611837570197,-0.29477917074712046,-7.604527560102922,-7.604527560102922,0.6337106300085769,0.6337106300085769,0.018074147937019718,0.018074147937019718,5.840693837639222
7,7,1.715261198658181,-0.29477917074712046,-7.604527581371235,-7.604527581371235,0.6337106317809362,0.6337106317809362,0.018074148148037324,0.018074148148037324,5.840693817068548
8,8,1.7152611837570197,-0.29477915584595926,-7.604527559957274,-7.604527581371235,0.6337106299964396,0.6337106317809362,0.01807414693338594,0.018074148148037324,5.840693848887639
9,9,2.0126050171332337,-0.4123743364524197,-8.25223059207689,-8.25223059207689,0.6876858826730742,0.6876858826730742,0.035051871589148645,0.035051871589148645,4.836062630346063
10,10,2.012605032034395,-0.4123743364524197,-8.2522306375789,-8.2522306375789,0.6876858864649084,0.6876858864649084,0.035051872641578274,0.035051872641578274,4.836062582731856
11,11,2.0126050171332337,-0.4123743215512585,-8.252230624516857,-8.2522306375789,0.6876858853764047,0.6876858864649084,0.035051871525653484,0.035051872641578274,4.83606264736558
12,12,3.201980350638089,-0.8827549992736169,-7.65026124165143,-8.2522306375789,0.6375217701376191,0.6876858864649084,0.004858752852034909,0.035051872641578274,3.6726147420032333
13,13,3.2019803655392503,-0.8827549992736169,-7.650261273248283,-8.2522306375789,0.6375217727706902,0.6876858864649084,0.004858753125338966,0.035051872641578274,3.6726147381778276
14,14,3.201980350638089,-0.8827549843724557,-7.650261216536923,-8.2522306375789,0.6375217680447436,0.6876858864649084,0.004858752718360789,0.035051872641578274,3.6726147649038623
15,15,2.1900095188158915,-0.48253523918700814,-8.520134912090427,-8.520134912090427,0.7100112426742022,0.7100112426742022,0.04714261604990361,0.04714261604990361,4.4570084237884515
16,16,2.1900095337170526,-0.48253523918700814,-8.520134953533102,-8.520134953533102,0.7100112461277585,0.7100112461277585,0.0471426173139355,0.0471426173139355,4.457008388442446
17,17,2.1900095188158915,-0.48253522428584694,-8.52013499260701,-8.52013499260701,0.7100112493839176,0.7100112493839176,0.04714261729109478,0.0471426173139355,4.4570083414879065
18,18,3.5025750530945974,-0.8158346415924367,-7.128891366189257,-8.52013499260701,0.5940742805157714,0.7100112493839176,0.008939109678613798,0.0471426173139355,5.387378904291559
19,19,3.5025750679957586,-0.8158346415924367,-7.128891329955015,-8.52013499260701,0.5940742774962512,0.7100112493839176,0.008939110002345261,0.0471426173139355,5.387379006793687
20,20,3.5025750530945974,-0.8158346266912755,-7.128891226647422,-8.52013499260701,0.5940742688872852,0.7100112493839176,0.008939108578777541,0.0471426173139355,5.387378989769402
21,21,2.3663591971385287,-0.5273156641367036,-8.664831794083225,-8.664831794083225,0.7220693161736021,0.7220693161736021,0.052994908071341135,0.052994908071341135,4.452468795734347
22,22,2.36635921203969,-0.5273156641367036,-8.6648318276326,-8.6648318276326,0.7220693189693833,0.7220693189693833,0.0529949085171231,0.0529949085171231,4.452468758968735
23,23,2.3663591971385287,-0.5273156492355424,-8.66483191429939,-8.66483191429939,0.7220693261916158,0.7220693261916158,0.05299491023774195,0.05299491023774195,4.45246861137386
24,24,2.4513635266724907,-0.5148083274262465,-8.944891915142192,-8.944891915142192,0.7454076595951826,0.7454076595951826,0.05545372956357958,0.05545372956357958,4.0245890984853645
25,25,2.451363541573652,-0.5148083274262465,-8.944891943797902,-8.944891943797902,0.7454076619831586,0.7454076619831586,0.05545372937280178,0.05545372956357958,4.024589044796016
26,26,2.4513635266724907,-0.5148083125250853,-8.944892032621437,-8.944892032621437,0.7454076693851198,0.7454076693851198,0.05545373141890719,0.05545373141890719,4.024588886657554
27,27,2.5677380305193274,-0.4714380088382507,-9.413627285591433,-9.413627285591433,0.7844689404659527,0.7844689404659527,0.05428310144137258,0.05545373141890719,2.9309995282188908
28,28,2.5677380454204886,-0.4714380088382507,-9.41362729717167,-9.41362729717167,0.7844689414309726,0.7844689414309726,0.05428310036861086,0.05545373141890719,2.9309994677927307
29,29,2.5677380305193274,-0.4714379939370895,-9.41362737395226,-9.41362737395226,0.784468947829355,0.784468947829355,0.054283102261631126,0.05545373141890719,2.9309993228229416
