,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,2.745225101212172,3.0430748243930195,2.73196323667427,1.672423783791843,0.7388103221759196,0.04569641173490738,1.358052988964243,1.2700005632548736,-9.853451578039483,-9.853451578039483,0.8211209648366236,0.8211209648366236,0.130073084521734,0.130073084521734,2.6976942542296314
1,1,2.745225116113333,3.0430748243930195,2.73196323667427,1.672423783791843,0.7388103221759196,0.04569641173490738,1.358052988964243,1.2700005632548736,-9.853451536589127,-9.853451578039483,0.8211209613824272,0.8211209648366236,0.1300730804497815,0.130073084521734,2.6976943157048225
2,2,2.745225101212172,3.0430748392941807,2.73196323667427,1.672423783791843,0.7388103221759196,0.04569641173490738,1.358052988964243,1.2700005632548736,-9.853451488652464,-9.853451578039483,0.8211209573877053,0.8211209648366236,0.13007307503279963,0.130073084521734,2.697694397379763
3,3,2.745225101212172,3.0430748243930195,2.731963251575431,1.672423783791843,0.7388103221759196,0.04569641173490738,1.358052988964243,1.2700005632548736,-9.853451554818626,-9.853451578039483,0.8211209629015522,0.8211209648366236,0.13007308232105555,0.130073084521734,2.697694286881628
4,4,2.745225101212172,3.0430748243930195,2.73196323667427,1.6724237986930042,0.7388103221759196,0.04569641173490738,1.358052988964243,1.2700005632548736,-9.853451690650067,-9.853451690650067,0.8211209742208389,0.8211209742208389,0.1300730973345957,0.1300730973345957,2.697694088214263
5,5,2.745225101212172,3.0430748243930195,2.73196323667427,1.672423783791843,0.7388103370770808,0.04569641173490738,1.358052988964243,1.2700005632548736,-9.853451546151888,-9.853451690650067,0.821120962179324,0.8211209742208389,0.13007308201056472,0.1300730973345957,2.697694306646156
6,6,2.745225101212172,3.0430748243930195,2.73196323667427,1.672423783791843,0.7388103221759196,0.04569642663606857,1.358052988964243,1.2700005632548736,-9.853451594293182,-9.853451690650067,0.8211209661910984,0.8211209742208389,0.13007308261080303,0.1300730973345957,2.69769415977386
7,7,2.745225101212172,3.0430748243930195,2.73196323667427,1.672423783791843,0.7388103221759196,0.04569641173490738,1.3580530038654042,1.2700005632548736,-9.8534515576979,-9.853451690650067,0.8211209631414916,0.8211209742208389,0.13007308340497595,0.1300730973345957,2.6976942924558074
8,8,2.745225101212172,3.0430748243930195,2.73196323667427,1.672423783791843,0.7388103221759196,0.04569641173490738,1.358052988964243,1.2700005781560348,-9.853451609547827,-9.853451690650067,0.8211209674623189,0.8211209742208389,0.13007308003294807,0.1300730973345957,2.6976941647794774
9,9,2.48365186664705,2.4789963980795684,2.5854275953589263,2.383054946262738,0.537583068456288,0.14826567732125795,1.2296870573717384,1.4688345502902043,-6.656041095580694,-9.853451690650067,0.5546700912983912,0.8211209742208389,0.00039640791230474877,0.1300730973345957,4.497216090990683
10,10,2.4836518815482114,2.4789963980795684,2.5854275953589263,2.383054946262738,0.537583068456288,0.14826567732125795,1.2296870573717384,1.4688345502902043,-6.656041047285736,-9.853451690650067,0.5546700872738114,0.8211209742208389,0.0003964079177741017,0.1300730973345957,4.497216170462913
