,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.315943046311869,2.2657628918642514,0.010358175337752922,0.956782463394772,0.469579669553897,0.2991668650207721,0.5932911096063962,1.0921554341771562,1.2525141074841437,1.6973545258361584,-8.41517722263415,-8.41517722263415,0.7012647685528458,0.7012647685528458,0.08517158955767878,0.08517158955767878,6.507561711870068
1,1,1.3159430612130303,2.2657628918642514,0.010358175337752922,0.956782463394772,0.469579669553897,0.2991668650207721,0.5932911096063962,1.0921554341771562,1.2525141074841437,1.6973545258361584,-8.415177295288608,-8.415177295288608,0.701264774607384,0.701264774607384,0.0851715937275487,0.0851715937275487,6.507561622855093
2,2,1.315943046311869,2.2657629067654126,0.010358175337752922,0.956782463394772,0.469579669553897,0.2991668650207721,0.5932911096063962,1.0921554341771562,1.2525141074841437,1.6973545258361584,-8.415177067680785,-8.415177295288608,0.7012647556400654,0.701264774607384,0.08517158364230668,0.0851715937275487,6.507561890396161
3,3,1.315943046311869,2.2657628918642514,0.010358190238914116,0.956782463394772,0.469579669553897,0.2991668650207721,0.5932911096063962,1.0921554341771562,1.2525141074841437,1.6973545258361584,-8.415177237930555,-8.415177295288608,0.7012647698275463,0.701264774607384,0.08517158598243166,0.0851715937275487,6.5075615405041844
4,4,1.315943046311869,2.2657628918642514,0.010358175337752922,0.9567824782959332,0.469579669553897,0.2991668650207721,0.5932911096063962,1.0921554341771562,1.2525141074841437,1.6973545258361584,-8.415177068174613,-8.415177295288608,0.7012647556812177,0.701264774607384,0.08517158359741157,0.0851715937275487,6.50756188993806
5,5,1.315943046311869,2.2657628918642514,0.010358175337752922,0.956782463394772,0.4695796844550582,0.2991668650207721,0.5932911096063962,1.0921554341771562,1.2525141074841437,1.6973545258361584,-8.415177295563067,-8.415177295563067,0.7012647746302556,0.7012647746302556,0.08517159273315203,0.0851715937275487,6.507561608934012
6,6,1.315943046311869,2.2657628918642514,0.010358175337752922,0.956782463394772,0.469579669553897,0.2991668799219333,0.5932911096063962,1.0921554341771562,1.2525141074841437,1.6973545258361584,-8.415177130790964,-8.415177295563067,0.7012647608992469,0.7012647746302556,0.08517159072499758,0.0851715937275487,6.5075618925310295
7,7,1.315943046311869,2.2657628918642514,0.010358175337752922,0.956782463394772,0.469579669553897,0.2991668650207721,0.5932911245075574,1.0921554341771562,1.2525141074841437,1.6973545258361584,-8.41517722825724,-8.415177295563067,0.7012647690214368,0.7012647746302556,0.0851715892636579,0.0851715937275487,6.507561663752867
8,8,1.315943046311869,2.2657628918642514,0.010358175337752922,0.956782463394772,0.469579669553897,0.2991668650207721,0.5932911096063962,1.0921554490783174,1.2525141074841437,1.6973545258361584,-8.415177204435263,-8.415177295563067,0.7012647670362719,0.7012647746302556,0.08517158910435264,0.0851715937275487,6.507561710685465
9,9,1.315943046311869,2.2657628918642514,0.010358175337752922,0.956782463394772,0.469579669553897,0.2991668650207721,0.5932911096063962,1.0921554341771562,1.252514122385305,1.6973545258361584,-8.41517723708246,-8.415177295563067,0.7012647697568717,0.7012647746302556,0.08517158976228512,0.0851715937275487,6.507561663138901
