,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.2489664784114884,2.452387960175767,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983260867804,-7.292591907418447,-7.292591907418447,0.6077159922848706,0.6077159922848706,0.0037205426931602994,0.0037205426931602994,5.047051328913852
1,1,0.24896649331264958,2.452387960175767,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983260867804,-7.292591912011119,-7.292591912011119,0.6077159926675932,0.6077159926675932,0.003720542975865759,0.003720542975865759,5.047051350630866
2,2,0.2489664784114884,2.4523879750769284,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983260867804,-7.292591901185268,-7.292591912011119,0.607715991765439,0.6077159926675932,0.003720542695961034,0.003720542975865759,5.047051336864719
3,3,0.2489664784114884,2.452387960175767,1.3829191433474106,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983260867804,-7.292591891311413,-7.292591912011119,0.6077159909426177,0.6077159926675932,0.0037205423463557846,0.003720542975865759,5.047051327528862
4,4,0.2489664784114884,2.452387960175767,1.3829191284462494,2.27559825092457,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983260867804,-7.292591933169958,-7.292591933169958,0.6077159944308298,0.6077159944308298,0.0037205429764944576,0.0037205429764944576,5.047051261615962
5,5,0.2489664784114884,2.452387960175767,1.3829191284462494,2.275598236023409,3.072664785957589,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983260867804,-7.292591914370749,-7.292591933169958,0.6077159928642291,0.6077159944308298,0.003720542639254158,0.0037205429764944576,5.0470512832556835
6,6,0.2489664784114884,2.452387960175767,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497266669167,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983260867804,-7.292591878018983,-7.292591933169958,0.6077159898349153,0.6077159944308298,0.0037205424362145986,0.0037205429764944576,5.047051398651099
7,7,0.2489664784114884,2.452387960175767,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051774621336,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983260867804,-7.29259190734673,-7.292591933169958,0.6077159922788942,0.6077159944308298,0.0037205426621288017,0.0037205429764944576,5.047051288693538
8,8,0.2489664784114884,2.452387960175767,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563481481340895,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983260867804,-7.292591847560415,-7.292591933169958,0.6077159872967012,0.6077159944308298,0.003720541960799803,0.0037205429764944576,5.047051359028494
9,9,0.2489664784114884,2.452387960175767,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415529253176,1.5754283672434173,2.137071665950161,2.526983260867804,-7.292591910557647,-7.292591933169958,0.6077159925464706,0.6077159944308298,0.003720542556430284,0.0037205429764944576,5.047051290180619
10,10,0.2489664784114884,2.452387960175767,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283821445785,2.137071665950161,2.526983260867804,-7.2925919158236665,-7.292591933169958,0.6077159929853055,0.6077159944308298,0.003720542510491028,0.0037205429764944576,5.047051241785859
11,11,0.2489664784114884,2.452387960175767,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071680851322,2.526983260867804,-7.292591910174806,-7.292591933169958,0.6077159925145671,0.6077159944308298,0.003720542552369264,0.0037205429764944576,5.047051290417606
12,12,0.2489664784114884,2.452387960175767,1.3829191284462494,2.275598236023409,3.0726647710564277,1.6963497117657556,1.5793051625609724,0.23563479991224776,0.8506415380241564,1.5754283672434173,2.137071665950161,2.526983275768965,-7.292591963663991,-7.292591963663991,0.6077159969719993,0.6077159969719993,0.003720543442669985,0.003720543442669985,5.04705129215516
13,13,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.666287254986276,2.166867399601129,3.134987312233028,-6.747801992956889,-7.292591963663991,0.5623168327464074,0.6077159969719993,0.01807224001214951,0.01807224001214951,4.66586640824746
14,14,0.2986124383142095,2.385008431301628,1.208805036038474,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.666287254986276,2.166867399601129,3.134987312233028,-6.747801974088658,-7.292591963663991,0.5623168311740548,0.6077159969719993,0.01807224058368466,0.01807224058368466,4.665866429172176
15,15,0.29861242341304833,2.3850084462027894,1.208805036038474,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.666287254986276,2.166867399601129,3.134987312233028,-6.74780199964981,-7.292591963663991,0.5623168333041508,0.6077159969719993,0.018072240107629863,0.01807224058368466,4.665866454305458
16,16,0.29861242341304833,2.385008431301628,1.208805050939635,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.666287254986276,2.166867399601129,3.134987312233028,-6.747801998473618,-7.292591963663991,0.5623168332061349,0.6077159969719993,0.018072239573909854,0.01807224058368466,4.6658663841518475
17,17,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673790377257,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.666287254986276,2.166867399601129,3.134987312233028,-6.7478018991469675,-7.292591963663991,0.562316824928914,0.6077159969719993,0.018072238674309293,0.01807224058368466,4.665866367931578
18,18,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673641365646,3.1478178980260223,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.666287254986276,2.166867399601129,3.134987312233028,-6.747802034587876,-7.292591963663991,0.5623168362156563,0.6077159969719993,0.018072240781345,0.018072240781345,4.665866348682336
19,19,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673641365646,3.147817883124861,1.378546892920405,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.666287254986276,2.166867399601129,3.134987312233028,-6.7478020869323325,-7.292591963663991,0.5623168405776944,0.6077159969719993,0.018072241336571388,0.018072241336571388,4.665866447971133
20,20,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299313729029,-0.4114195873052534,0.884575716298364,1.666287254986276,2.166867399601129,3.134987312233028,-6.747802032332422,-7.292591963663991,0.5623168360277019,0.6077159969719993,0.01807224027145306,0.018072241336571388,4.665866341037393
21,21,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195724040922,0.884575716298364,1.666287254986276,2.166867399601129,3.134987312233028,-6.7478020395214005,-7.292591963663991,0.5623168366267833,0.6077159969719993,0.018072240784496978,0.018072241336571388,4.665866409164586
22,22,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.8845757311995252,1.666287254986276,2.166867399601129,3.134987312233028,-6.747801995786456,-7.292591963663991,0.5623168329822047,0.6077159969719993,0.018072239883432647,0.018072241336571388,4.665866382737704
23,23,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.6662872698874371,2.166867399601129,3.134987312233028,-6.747801957513282,-7.292591963663991,0.5623168297927735,0.6077159969719993,0.018072240310190713,0.018072241336571388,4.665866533784765
24,24,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.666287254986276,2.16686741450229,3.134987312233028,-6.747801992441513,-7.292591963663991,0.5623168327034594,0.6077159969719993,0.018072240024981208,0.018072241336571388,4.665866410718252
25,25,0.29861242341304833,2.385008431301628,1.208805036038474,2.5539673641365646,3.147817883124861,1.3785468780192438,1.5785299164717417,-0.4114195873052534,0.884575716298364,1.666287254986276,2.166867399601129,3.1349873271341893,-6.747801930992301,-7.292591963663991,0.5623168275826917,0.6077159969719993,0.018072238891231357,0.018072241336571388,4.66586644313535
26,26,0.27232877427931534,2.4206806276042356,1.3009848447608285,2.4065926592586644,3.108030181856354,1.5467986491485262,1.578940348707466,-0.0688548424195827,0.8666102201158904,1.6181845725609643,2.151092886517742,2.81309666925162,-7.00355657792769,-7.292591963663991,0.5836297148273075,0.6077159969719993,0.014642587943634674,0.018072241336571388,5.841994934173918
27,27,0.27232878918047654,2.4206806276042356,1.3009848447608285,2.4065926592586644,3.108030181856354,1.5467986491485262,1.578940348707466,-0.0688548424195827,0.8666102201158904,1.6181845725609643,2.151092886517742,2.81309666925162,-7.003556561463489,-7.292591963663991,0.5836297134552907,0.6077159969719993,0.014642589035351171,0.018072241336571388,5.841994993222123
28,28,0.27232877427931534,2.420680642505397,1.3009848447608285,2.4065926592586644,3.108030181856354,1.5467986491485262,1.578940348707466,-0.0688548424195827,0.8666102201158904,1.6181845725609643,2.151092886517742,2.81309666925162,-7.003556611717137,-7.292591963663991,0.5836297176430948,0.6077159969719993,0.014642589100057567,0.018072241336571388,5.841994942348045
29,29,0.27232877427931534,2.4206806276042356,1.3009848596619897,2.4065926592586644,3.108030181856354,1.5467986491485262,1.578940348707466,-0.0688548424195827,0.8666102201158904,1.6181845725609643,2.151092886517742,2.81309666925162,-7.00355656963331,-7.292591963663991,0.5836297141361092,0.6077159969719993,0.014642586281453804,0.018072241336571388,5.841994869686971
30,30,0.27232877427931534,2.4206806276042356,1.3009848447608285,2.4065926741598256,3.108030181856354,1.5467986491485262,1.578940348707466,-0.0688548424195827,0.8666102201158904,1.6181845725609643,2.151092886517742,2.81309666925162,-7.003556638437246,-7.292591963663991,0.5836297198697705,0.6077159969719993,0.014642591088361665,0.018072241336571388,5.841994982446913
31,31,0.27232877427931534,2.4206806276042356,1.3009848447608285,2.4065926592586644,3.108030196757515,1.5467986491485262,1.578940348707466,-0.0688548424195827,0.8666102201158904,1.6181845725609643,2.151092886517742,2.81309666925162,-7.003556536850011,-7.292591963663991,0.5836297114041676,0.6077159969719993,0.014642587267255543,0.018072241336571388,5.841994956499342
32,32,0.27232877427931534,2.4206806276042356,1.3009848447608285,2.4065926592586644,3.108030181856354,1.5467986640496874,1.578940348707466,-0.0688548424195827,0.8666102201158904,1.6181845725609643,2.151092886517742,2.81309666925162,-7.003556514758276,-7.292591963663991,0.5836297095631896,0.6077159969719993,0.014642584789942983,0.018072241336571388,5.841994884119352
33,33,0.27232877427931534,2.4206806276042356,1.3009848447608285,2.4065926592586644,3.108030181856354,1.5467986491485262,1.5789403636086272,-0.0688548424195827,0.8666102201158904,1.6181845725609643,2.151092886517742,2.81309666925162,-7.003556538592725,-7.292591963663991,0.5836297115493937,0.6077159969719993,0.014642587264188121,0.018072241336571388,5.841994957613437
