,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,BETA_7,GAMMA_7,BETA_8,GAMMA_8,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.581131600702776,-8.581131600702776,0.7150943000585647,0.7150943000585647,0.037003543361409014,0.037003543361409014,4.452975335406208
1,1,1.7348746802163686,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.581131580651212,-8.581131600702776,0.715094298387601,0.7150943000585647,0.03700354311221279,0.037003543361409014,4.452975326419903
2,2,1.7348746653152074,2.227630533867626,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.581131646195935,-8.581131646195935,0.7150943038496612,0.7150943038496612,0.03700354204315619,0.037003543361409014,4.452975177893649
3,3,1.7348746653152074,2.227630518966465,0.9209951581753946,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.58113164567417,-8.581131646195935,0.7150943038061808,0.7150943038496612,0.037003546128750175,0.037003546128750175,4.452975284387037
4,4,1.7348746653152074,2.227630518966465,0.9209951432742334,1.60970399058903,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.581131649597483,-8.581131649597483,0.7150943041331236,0.7150943041331236,0.03700354368606452,0.037003546128750175,4.452975295558744
5,5,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346137181657,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.58113164961326,-8.58113164961326,0.7150943041344383,0.7150943041344383,0.03700354626628162,0.03700354626628162,4.452975281492911
6,6,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.816824867668419,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.581131535633899,-8.58113164961326,0.7150942946361583,0.7150943041344383,0.03700354263068038,0.03700354626628162,4.452975395030748
7,7,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.4032820505485042,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.581131615292257,-8.58113164961326,0.7150943012743548,0.7150943041344383,0.037003544402482415,0.03700354626628162,4.45297528540209
8,8,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002895875117,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.581131486168228,-8.58113164961326,0.7150942905140191,0.7150943041344383,0.03700354061579936,0.03700354626628162,4.4529754575694085
9,9,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743306588524,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,0.08510148667158558,1.76010335638087,-8.581131583363598,-8.58113164961326,0.7150942986136332,0.7150943041344383,0.03700354300136404,0.03700354626628162,4.45297532059611
