,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,BETA_7,GAMMA_7,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,2.5223755653997597,2.0421437667780715,1.354257384079655,2.1544718838555856,0.6996596201785251,0.06760702786088846,1.2996102778484537,1.86199788912317,0.6548441059070484,1.5842446907607204,1.1573922992067363,0.4115378541182322,3.1104653545332486,0.41116035787012484,2.523591957448172,0.7824415936898725,-6.037490641681274,-6.037490641681274,0.5031242201401062,0.5031242201401062,0.0005328342706585596,0.0005328342706585596,4.891577792800888
1,1,2.7269521166130772,2.228230187652586,3.1193404810921095,1.7734386140893097,2.9387097508129614,1.3432843005561566,0.6680718752338473,0.23522310003926528,0.6413098692502943,0.4142179365897767,1.7774454768552927,2.235612275267882,0.7429467160887693,2.2215122299614705,2.913027122487202,1.4800254114980353,-7.649242801361286,-7.649242801361286,0.6374369001134405,0.6374369001134405,0.02350575552453333,0.02350575552453333,5.565980461570355
2,2,0.031404523539926066,2.7004191142516074,0.9906262033250016,1.4273392784530468,0.45560120683080196,1.7997024057825177,2.981605832616623,2.9584958643358448,0.749941968490272,0.20262341916934035,2.683324013236228,1.770495098226557,0.7998948661141879,0.25729157289497073,1.7423783131825226,0.5954139870150628,-8.215797554184004,-8.215797554184004,0.6846497961820003,0.6846497961820003,0.02894823160890088,0.02894823160890088,5.717138640829589
3,3,2.2931976170692123,3.0626059574620723,2.31927084992296,1.9666554786762032,0.40492762664126936,2.9461581596584194,3.0020716540976604,3.1109457904486066,1.1154953118997102,0.9750871294108449,0.27503098442784135,2.7467886054775343,1.679688389657247,1.066622082228003,1.9043889141437673,0.45675136267217376,-6.203028807664914,-8.215797554184004,0.5169190673054095,0.6846497961820003,0.004747339518695151,0.02894823160890088,5.592695504927228
4,4,3.0768437801555146,0.8236989781730982,2.3729550786108478,1.70351395204978,2.5538369304033424,0.8321433305766626,1.473674403986852,2.987643675008699,1.2673335841706015,2.0832575224454204,1.0598287529550205,0.027505781077752367,3.080002535691979,1.5942065170922555,0.5731675169748718,1.3934734627286167,-6.925878038711159,-8.215797554184004,0.5771565032259299,0.6846497961820003,0.0044078434482334875,0.02894823160890088,4.291662641433412
5,5,1.006937028150105,2.9002174802347254,2.1461604269856127,1.6400314280051684,1.092718244384103,0.7879978384754909,1.5304833330994605,2.7671378507534103,1.9005724067109036,1.6805680944021846,2.132733631089371,2.0866517634475086,0.05409296244319739,0.42759231438691936,2.994622915696395,3.1357899592736125,-7.35829843490884,-8.215797554184004,0.6131915362424033,0.6846497961820003,0.001649326883916531,0.02894823160890088,3.709604927178951
6,6,2.2618918509591426,1.565695829272005,2.0533555986895866,1.2832935104666616,2.951366127594836,0.3077924419360585,0.538055257021228,0.34871454978774286,1.4414744833690953,0.7833013402475794,0.7602111370116379,1.496751321035517,0.5833219492183801,2.6578482337433362,1.6972634377513542,0.41632655008100006,-6.77986381039857,-8.215797554184004,0.5649886508665475,0.6846497961820003,0.008125314198547007,0.02894823160890088,6.6443029292670985
7,7,1.0461682785179964,1.0244228998378313,2.5872438268800195,1.1889476387990112,0.21409909503256008,2.453044463911656,1.1172051383349473,2.0243331653615724,0.8538428340518885,0.02957256318401602,2.7735342722250174,2.8145542375630814,0.8962893633233282,1.8953428106888899,0.2330721303291401,0.2343911963735581,-6.900689398168881,-8.215797554184004,0.5750574498474067,0.6846497961820003,0.008734175949856496,0.02894823160890088,4.978432719137672
8,8,2.0167052039972972,2.3786610950724874,2.8912261472054737,0.9342988300516282,2.1414621207104814,1.2503667034627388,1.745715144904309,0.0364515501515672,0.36433898473547877,0.09741737314795573,2.2746659772223614,1.8668078142393156,0.49970024215529874,0.6164585704752925,1.2001843896908995,2.0651736459712264,-7.284502636234767,-8.215797554184004,0.6070418863528972,0.6846497961820003,0.004338101000415226,0.02894823160890088,4.668793071361868
9,9,1.8919061986784795,3.0018391252547936,1.8702217705929471,0.7359861895894805,0.5233653537899501,0.2563680739465213,0.8446333516154082,0.9914839121416755,1.4515375903739787,2.5158677005940264,2.9098905269538116,1.6193762885242995,1.5245899169914015,2.1454306279242843,2.847255055203716,1.4237832459995838,-7.211327806789733,-8.215797554184004,0.6009439838991444,0.6846497961820003,0.016306457653564657,0.02894823160890088,5.108934822129569
10,10,0.731578492514662,2.9300311737947498,2.6876724375666776,2.3850505212258386,1.0653919321298841,1.6375968881682483,1.5134470229465178,0.8351108259716062,1.0643226563764465,0.5465324803988512,0.0914972348191303,3.1111914521719797,0.012874622081676446,0.04394929743073939,2.721590620289546,0.5500330944164524,-7.070599631814593,-8.215797554184004,0.5892166359845494,0.6846497961820003,0.03372953161135106,0.03372953161135106,6.647247670902466
11,11,1.0819496536322675,0.8839695745515774,0.33019831702842284,3.0520325565111825,1.8502240598210271,0.4163338202331821,1.2593128125043953,3.0723684048188202,0.08566170098161585,1.5082300597799374,0.8858188499977576,0.15359218101260264,1.8454223992569792,2.358603120812033,1.950542958653231,0.11697033948872249,-6.239855659115827,-8.215797554184004,0.5199879715929856,0.6846497961820003,0.00042368188649851915,0.03372953161135106,6.614784678068794
12,12,1.147995964915927,0.7606178872671654,1.9219177211601726,2.571525009395687,1.956854528391715,1.2947059663576748,2.0906141553344026,0.9751463234157896,2.179636854643687,0.9208127495017271,2.61856647228126,2.013810717374567,2.849776503940021,2.176073229030967,0.9425401689406312,2.58625733648938,-7.549134741965578,-8.215797554184004,0.6290945618304649,0.6846497961820003,0.035383020592423375,0.035383020592423375,4.789192592983824
13,13,1.3297040342183752,0.29508194594401216,0.8214962594644943,3.1314562905911147,1.6056681025007478,3.0986673005870715,2.4568737539118937,1.2270496252135303,0.2872111148725667,1.214404938367171,1.0095439051747657,2.829906886072564,2.1443341174594805,0.1295801145194515,1.9705679966387042,1.7259585680465441,-7.290273504786584,-8.215797554184004,0.6075227920655487,0.6846497961820003,0.03645878433920906,0.03645878433920906,8.593179445752334
14,14,0.8226048873360576,0.23397122765410128,2.445761342843981,0.7134552435488021,0.9402287283867129,0.09059561011898531,1.5057558128261157,0.15167637695750846,2.0499050433894275,0.05419316451411671,1.6129086033128934,2.3116594378004827,2.4714921282345865,2.753657082170701,1.6312916400500659,1.4706632819674925,-5.714295235065688,-8.215797554184004,0.4761912695888073,0.6846497961820003,0.00031209603576793336,0.03645878433920906,5.8531220987908625
15,15,0.06979625971097692,1.1950908404339087,1.800559067262701,2.81514803179366,1.7873362401860866,0.8637485457354203,2.5950071451252006,2.5300054461719075,2.256671553086778,0.47929674554087787,1.412277908297109,2.9037559253961414,1.2793027110573774,0.2999370690397356,1.4745700267054158,1.6352789241331753,-7.626607544430694,-8.215797554184004,0.6355506287025579,0.6846497961820003,0.021928109202271916,0.03645878433920906,3.9997367371465486
16,16,2.126929275431185,0.33050359909007554,0.7826033227721516,2.6289513007601917,1.2842968738958376,0.6949218028846299,2.2795717735017798,1.8110498811941311,0.45799581412823964,0.6506376193772865,1.8183483058991172,1.0579852375314758,0.3566165203035958,0.5924036582121837,1.3343023990209366,0.6317572659379173,-5.646971683187817,-8.215797554184004,0.47058097359898476,0.6846497961820003,0.000602947671280205,0.03645878433920906,8.024479845021201
17,17,0.8640539063482393,2.179075092751772,1.5763040567407387,1.500059000039972,1.5557340440597671,1.910762578130759,1.8951501091989558,1.6163006031305007,0.3437326503153064,2.983043047620609,2.9373994732737803,2.5208764040982468,0.5959031343696055,2.301123758708549,1.778528313574223,2.7549830384931724,-7.945827512150375,-8.215797554184004,0.662152292679198,0.6846497961820003,0.007688951323718665,0.03645878433920906,3.5829039442955875
18,18,3.037369690386903,1.2859940277253563,2.7481933842233763,2.0306194999236444,2.288539197645903,2.145939441381325,2.898901869375745,1.5409911283158944,0.5829419623162506,2.3527085444853686,0.45150479437649427,1.6559425546352446,2.982298288808577,1.264470613870305,2.2070713456560056,2.816802399797866,-6.543718380528076,-8.215797554184004,0.5453098650440064,0.6846497961820003,0.004796636744495524,0.03645878433920906,5.322954654219991
19,19,2.6406275091439992,0.3615367049271532,0.07083382330455046,1.6481491326867719,0.5139206623087829,2.3383209440942285,1.9861163823045815,1.9157944170003596,1.3362576875009673,1.5932125368876682,1.3652391967243243,2.3013159847617812,0.10973224131112258,0.028627051880499188,2.109233201674437,2.7840153233278375,-7.131207937565269,-8.215797554184004,0.594267328130439,0.6846497961820003,0.017076052039808543,0.03645878433920906,5.379755280912356
20,20,0.41706816440484706,2.254073003741822,2.8003115482072665,1.349784472045873,0.7952642841414832,3.069111646984277,2.7796510541200385,1.1822963825186066,1.9552156870808444,0.13323566409923893,2.0230025310005963,1.7414454760785707,0.47264364904216727,1.668842582700584,3.0673715629038636,2.5450839322523735,-6.4060717587133595,-8.215797554184004,0.5338393132261133,0.6846497961820003,0.0003599062607167998,0.03645878433920906,5.411182983227086
21,21,0.7531997681752984,3.024947826881326,0.2267183484932871,0.21132994319729037,1.3670904580319505,2.716193629599654,2.2074526712845652,3.0582093855520647,0.3563853194903217,2.8364013298712054,0.9528870525234657,1.0830372455694586,1.2496971212803336,2.160540018441745,1.850554059879665,2.192319917693042,-6.718962204543368,-8.215797554184004,0.5599135170452807,0.6846497961820003,0.007750209249473485,0.03645878433920906,6.008523474813046
22,22,0.7815615591635157,0.13307666832123144,2.6529116809603632,0.9505022383552699,2.4921706781258943,0.977801400756362,0.7558124507657777,2.4968611101154288,1.5438395651425243,2.6202659833076174,1.1112758410403347,0.875665755316708,2.196584655235907,2.2850361154918977,0.9345513401527492,1.3751152014440056,-7.013038267461606,-8.215797554184004,0.5844198556218004,0.6846497961820003,0.011713920689409085,0.03645878433920906,5.315675530867743
23,23,2.8439420288754227,0.2067584644879057,2.390136766047192,2.355921950624899,1.9029517821968933,1.365067185373632,1.3498796366692498,0.7602703270087565,0.09543908291881009,1.0967031800135638,0.41761286888217075,1.678399130671378,2.3052069593999063,0.3487788645358576,1.529981630568194,2.976023158084039,-7.255749597366045,-8.215797554184004,0.6046457997805038,0.6846497961820003,0.0241651142633348,0.03645878433920906,5.670700035615496
24,24,0.808985712080974,3.0707335064524135,3.101506496402335,0.8319177260287545,2.8036281537041234,2.109641857444,0.11552896391098377,0.011259564609695794,2.4886674354038067,2.094036195505125,1.0407448192119468,2.779168081092189,0.3215404938681383,2.0558952774511883,2.2940252774787293,1.9028044890633442,-8.167748312166815,-8.215797554184004,0.6806456926805678,0.6846497961820003,0.08157095653901046,0.08157095653901046,6.256170381235009
