,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.322746461730499,2.1558283535389604,0.6502611632691258,2.759906112790987,0.09576678565813136,2.109631129345324,1.3168286534006355,1.7595889623960579,0.4496347055647955,0.630373167883405,-7.406102093300992,-7.406102093300992,0.6171751744417493,0.6171751744417493,0.027825764147354756,0.027825764147354756,5.982482485719807
1,1,2.7590342503501617,0.3153932446849892,2.086548950941726,0.9194710038838336,1.5320545699907984,0.41432626224956537,2.607986197542253,3.0507465067467123,1.7407922499960693,1.921530712131265,-7.042917925105048,-7.406102093300992,0.5869098270920873,0.6171751744417493,0.002131780754255971,0.027825764147354756,5.433296359223853
2,2,2.498398226425076,2.1609017209290027,1.8259129270166403,2.7649794922350406,1.2714185460657126,0.15369023822250427,2.347350169643784,1.7646623285715857,1.4801562248915678,1.6608946814388281,-4.821842581223274,-7.406102093300992,0.4018202151019395,0.6171751744417493,0.0007812065870889761,0.027825764147354756,7.079504469580545
3,3,2.4434928682329655,2.1059963640453816,1.7710075613739493,2.7100741353514195,1.7080992154772832,0.09878487257981326,2.292444804001093,2.20134299918967,1.4252508666994574,2.0975753508503985,-7.492372788702437,-7.492372788702437,0.6243643990585365,0.6243643990585365,0.045205635256950365,0.045205635256950365,5.760025754434437
4,4,0.7054596757288272,3.07886368851576,0.03297436886981075,0.9720409428472812,2.680966540010907,1.492344333665468,0.13371947488167835,0.04261767013350081,2.3981181911698357,0.3595421602721507,-6.085085636467844,-7.492372788702437,0.5070904697056536,0.6243643990585365,0.0077797999560614665,0.045205635256950365,7.1801922152594955
5,5,2.4119210488987886,1.1045022436073995,1.1902055792078434,2.6785023160172425,1.2558352597971203,2.649575544105476,1.8401808462930644,1.1998488805756031,0.972986909093404,1.5167733706101834,-6.981639429932607,-7.492372788702437,0.5818032858277172,0.6243643990585365,0.0007399251755522473,0.045205635256950365,4.013857881221277
6,6,0.2949554018822431,2.1191292508563,2.2048325865587195,3.017545926341578,2.2704622662683924,0.532609897866559,2.179224449166819,1.5388924805016961,1.9876139155646764,1.855816977986857,-6.963464347048113,-7.492372788702437,0.5802886955873428,0.6243643990585365,0.002353181989057847,0.045205635256950365,5.0387363120057955
7,7,0.706732201583421,2.530906046934163,2.6166093826365824,1.3253887311852,2.6822390660715456,0.9443866938424466,0.48706725401044104,1.950669276721513,0.2954567239916346,2.2675937742066736,-6.57734610269816,-7.492372788702437,0.5481121752248467,0.6243643990585365,0.0005660638427813199,0.045205635256950365,3.0433036742701844
8,8,1.6040832440358683,1.8052567847132777,0.3823677714992366,2.2227397736370076,0.44799745493419985,1.841737736294894,2.8930106393032844,1.2250200070500468,1.1928077664434424,1.5419445045352076,-8.445930643695078,-8.445930643695078,0.7038275536412565,0.7038275536412565,0.08662000656590778,0.08662000656590778,6.142904850881365
9,9,1.142650634546513,2.3582540092194435,0.9353649963760733,1.761307158072228,1.0009946798110365,2.3947349612737057,0.31441521032163267,1.7780172315562128,0.7313751508786626,1.080511890847916,-6.512059265570909,-8.445930643695078,0.5426716054642424,0.7038275536412565,0.012438889406681662,0.08662000656590778,6.382386243724206
10,10,2.4181718700661285,0.9181883109316724,2.2108862311675175,0.3212414605126279,2.692521631387768,0.9546692592606443,2.005942165521679,3.053538466347657,2.006896386398278,2.3560331263675316,-7.279129399560018,-8.445930643695078,0.6065941166300015,0.7038275536412565,0.002062223470328365,0.08662000656590778,4.415038816145831
11,11,2.3549851046541423,0.9181883109316724,2.2108862311675175,0.3212414605126279,2.692521631387768,0.9546692592606443,2.005942165521679,3.053538466347657,2.006896386398278,2.3560331263675316,-7.256644241323047,-8.445930643695078,0.6047203534435873,0.7038275536412565,0.0009049071995731286,0.08662000656590778,4.416156676074536
12,12,2.3549851046541423,2.323474875513032,2.2108862311675175,0.3212414605126279,2.692521631387768,0.9546692592606443,2.005942165521679,3.053538466347657,2.006896386398278,2.3560331263675316,-7.023044984249642,-8.445930643695078,0.5852537486874702,0.7038275536412565,0.014269193746137197,0.08662000656590778,4.82373061223673
13,13,2.3549851046541423,2.323474875513032,1.3561285216421022,0.3212414605126279,2.692521631387768,0.9546692592606443,2.005942165521679,3.053538466347657,2.006896386398278,2.3560331263675316,-6.8577623069839895,-8.445930643695078,0.5714801922486658,0.7038275536412565,0.029824727142944707,0.08662000656590778,6.380664726449702
14,14,2.3549851046541423,2.323474875513032,1.3561285216421022,2.9165536444256013,2.692521631387768,0.9546692592606443,2.005942165521679,3.053538466347657,2.006896386398278,2.3560331263675316,-7.030699639990918,-8.445930643695078,0.5858916366659098,0.7038275536412565,0.010804751810028969,0.08662000656590778,5.947815584990224
15,15,2.3549851046541423,2.323474875513032,1.3561285216421022,2.9165536444256013,1.6485830765719813,0.9546692592606443,2.005942165521679,3.053538466347657,2.006896386398278,2.3560331263675316,-5.692286424072731,-8.445930643695078,0.4743572020060609,0.7038275536412565,0.0015481294810173085,0.08662000656590778,6.574464695850494
16,16,2.3549851046541423,2.323474875513032,1.3561285216421022,2.9165536444256013,1.6485830765719813,0.5156589132749885,2.005942165521679,3.053538466347657,2.006896386398278,2.3560331263675316,-7.2426493650130475,-8.445930643695078,0.6035541137510873,0.7038275536412565,0.018237364211503404,0.08662000656590778,5.344439397829362
17,17,2.3549851046541423,2.323474875513032,1.3561285216421022,2.9165536444256013,1.6485830765719813,0.5156589132749885,2.0608761275423824,3.053538466347657,2.006896386398278,2.3560331263675316,-7.049303492604962,-8.445930643695078,0.5874419577170802,0.7038275536412565,0.014261913630769698,0.08662000656590778,5.406199730654691
18,18,2.3549851046541423,2.323474875513032,1.3561285216421022,2.9165536444256013,1.6485830765719813,0.5156589132749885,2.0608761275423824,1.9927901520715798,2.006896386398278,2.3560331263675316,-7.426912185769511,-8.445930643695078,0.6189093488141258,0.7038275536412565,0.006428332855837501,0.08662000656590778,4.607227518614408
19,19,2.3549851046541423,2.323474875513032,1.3561285216421022,2.9165536444256013,1.6485830765719813,0.5156589132749885,2.0608761275423824,1.9927901520715798,1.2714951006988626,2.3560331263675316,-7.597937575552288,-8.445930643695078,0.6331614646293574,0.7038275536412565,0.0002614694453073613,0.08662000656590778,4.918138777826883
20,20,2.3549851046541423,2.323474875513032,1.3561285216421022,2.9165536444256013,1.6485830765719813,0.5156589132749885,2.0608761275423824,1.9927901520715798,1.2714951006988626,2.788964820428495,-6.9524496859712555,-8.445930643695078,0.5793708071642713,0.7038275536412565,0.004830607785924258,0.08662000656590778,5.685543539533917
21,21,1.6040832440358683,1.8052567847132777,0.3823677714992366,2.2227397736370076,0.44799745493419985,1.841737736294894,2.8930106393032844,1.2250200070500468,1.1928077664434424,1.5419445045352076,-8.445930643695078,-8.445930643695078,0.7038275536412565,0.7038275536412565,0.08662000656590778,0.08662000656590778,6.142904850881365
22,22,1.6040832540358683,1.8052567847132777,0.3823677714992366,2.2227397736370076,0.44799745493419985,1.841737736294894,2.8930106393032844,1.2250200070500468,1.1928077664434424,1.5419445045352076,-8.445930698394044,-8.445930698394044,0.7038275581995036,0.7038275581995036,0.08662000870170956,0.08662000870170956,6.142904737221869
23,23,1.6040832440358683,1.8052567947132776,0.3823677714992366,2.2227397736370076,0.44799745493419985,1.841737736294894,2.8930106393032844,1.2250200070500468,1.1928077664434424,1.5419445045352076,-8.445930593290914,-8.445930698394044,0.7038275494409095,0.7038275581995036,0.08662000579300921,0.08662000870170956,6.142904894937942
24,24,1.6040832440358683,1.8052567847132777,0.3823677814992366,2.2227397736370076,0.44799745493419985,1.841737736294894,2.8930106393032844,1.2250200070500468,1.1928077664434424,1.5419445045352076,-8.445930670743076,-8.445930698394044,0.7038275558952564,0.7038275581995036,0.08662000809796233,0.08662000870170956,6.142904839325183
25,25,1.6040832440358683,1.8052567847132777,0.3823677714992366,2.2227397836370075,0.44799745493419985,1.841737736294894,2.8930106393032844,1.2250200070500468,1.1928077664434424,1.5419445045352076,-8.445930629178138,-8.445930698394044,0.7038275524315115,0.7038275581995036,0.08662000545907103,0.08662000870170956,6.142904764784987
26,26,1.6040832440358683,1.8052567847132777,0.3823677714992366,2.2227397736370076,0.44799746493419984,1.841737736294894,2.8930106393032844,1.2250200070500468,1.1928077664434424,1.5419445045352076,-8.44593063835758,-8.445930698394044,0.7038275531964651,0.7038275581995036,0.08662000826846149,0.08662000870170956,6.142904835286018
27,27,1.6040832440358683,1.8052567847132777,0.3823677714992366,2.2227397736370076,0.44799745493419985,1.8417377462948938,2.8930106393032844,1.2250200070500468,1.1928077664434424,1.5419445045352076,-8.445930637851664,-8.445930698394044,0.7038275531543053,0.7038275581995036,0.08662000713365661,0.08662000870170956,6.14290482148013
28,28,1.6040832440358683,1.8052567847132777,0.3823677714992366,2.2227397736370076,0.44799745493419985,1.841737736294894,2.8930106493032843,1.2250200070500468,1.1928077664434424,1.5419445045352076,-8.445930638910696,-8.445930698394044,0.703827553242558,0.7038275581995036,0.08662000720619091,0.08662000870170956,6.142904829876841
29,29,1.6040832440358683,1.8052567847132777,0.3823677714992366,2.2227397736370076,0.44799745493419985,1.841737736294894,2.8930106393032844,1.2250200170500467,1.1928077664434424,1.5419445045352076,-8.44593064392879,-8.445930698394044,0.7038275536607325,0.7038275581995036,0.08662000698792277,0.08662000870170956,6.142904884002121
30,30,1.6040832440358683,1.8052567847132777,0.3823677714992366,2.2227397736370076,0.44799745493419985,1.841737736294894,2.8930106393032844,1.2250200070500468,1.1928077764434424,1.5419445045352076,-8.445930646513078,-8.445930698394044,0.7038275538760899,0.7038275581995036,0.08662000675282062,0.08662000870170956,6.142904853406591
31,31,1.6040832440358683,1.8052567847132777,0.3823677714992366,2.2227397736370076,0.44799745493419985,1.841737736294894,2.8930106393032844,1.2250200070500468,1.1928077664434424,1.5419445145352075,-8.445930683632955,-8.445930698394044,0.7038275569694129,0.7038275581995036,0.08662000297824773,0.08662000870170956,6.142904756645237
32,32,3.141592653589793,0.01,3.0871675348663032,0.7710457109587879,0.01,1.2573962686386657,2.414572369613412,1.2483911788567057,1.4746077737087422,3.141592653589793,-9.832446257624458,-9.832446257624458,0.8193705214687048,0.8193705214687048,0.0641577611796456,0.08662000870170956,2.1198185686677107
33,33,3.141592643589793,0.01,3.0871675348663032,0.7710457109587879,0.01,1.2573962686386657,2.414572369613412,1.2483911788567057,1.4746077737087422,3.141592653589793,-9.83244628415545,-9.83244628415545,0.8193705236796208,0.8193705236796208,0.06415776338009141,0.08662000870170956,2.1198185311509974
34,34,3.141592653589793,0.01000001,3.0871675348663032,0.7710457109587879,0.01,1.2573962686386657,2.414572369613412,1.2483911788567057,1.4746077737087422,3.141592653589793,-9.832446257624518,-9.83244628415545,0.8193705214687098,0.8193705236796208,0.06415776117964561,0.08662000870170956,2.1198185686669717
