,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.09576678565813136,2.109631129345324,1.3168286534006355,1.7595889623960579,0.4496347055647955,0.630373167883405,2.517605808666238,3.0422008372761424,0.9915168537809035,2.1780724171440937,2.75449383101606,2.8115436552811244,0.2763238275559341,0.13230367225963624,-6.887914847461018,-6.887914847461018,0.5739929039550848,0.5739929039550848,0.005239162552903853,0.005239162552903853,3.301223108837604
1,1,1.8425538698827728,0.5092367008432943,3.0636157403385145,0.15919453372361247,1.9808329305627626,2.3771602521335584,1.1328002448898575,1.6573952670913956,2.7383039380108816,0.7932668488246224,1.3696882661205552,1.2111492268845636,2.0231109122430784,1.8790907571708664,-6.941944319471418,-6.941944319471418,0.5784953599559515,0.5784953599559515,0.010448373083661486,0.010448373083661486,5.224448712446069
2,2,2.1578196872031796,0.8245025181566847,0.2472889040691284,2.511753386040475,1.201799122872549,2.6924260694539655,1.4480660622247046,0.8783614619400082,3.0535697553312886,1.1085326661594694,1.6849540834554022,1.526415044197954,1.2440771071936665,2.194356574491273,-6.645267148970056,-6.941944319471418,0.5537722624141713,0.5784953599559515,0.01281153200379626,0.01281153200379626,7.161391608443509
3,3,1.1849523631164056,2.983227848649234,1.467960697468227,1.5388860625454408,2.422470915932065,1.7195587453671914,0.475198738021515,3.0370867919327917,2.0807024312445144,0.13566534195627988,0.7120867592522127,0.55354772110071,0.27120978359665693,1.2214892504044992,-7.478303048869695,-7.478303048869695,0.6231919207391413,0.6231919207391413,0.01696537376817992,0.01696537376817992,4.866676075757688
4,4,1.3542041718485136,0.1690536414559054,1.7853791427064787,1.7081378712775488,2.591722724539258,2.0369771916616806,0.644450546753623,0.2229125847394633,2.2499542399766224,0.4530837882507692,0.8813385679843206,0.8709661673951994,0.5886282298911463,1.5389076966989885,-5.9139062159097655,-7.478303048869695,0.4928255179924805,0.6231919207391413,0.0017804264011237578,0.01696537376817992,5.9871671480215625
5,5,0.7938936184209917,2.407177070131336,0.8919099174284304,0.814668646159854,2.0314121673864456,1.1435079663836325,2.8825739752257213,2.461036013414894,1.3564850148589278,3.0243658775424773,3.119461996456419,3.109089595706944,0.02831767304364185,0.6454384714209402,-6.135628276133244,-7.478303048869695,0.511302356344437,0.6231919207391413,0.001535389563265376,0.01696537376817992,7.159781952318589
6,6,1.4998388758260168,1.5098260276803883,3.1261515285671635,3.048910257298587,1.1340611249337924,1.8494532278138556,1.9852229327747735,1.5636849709639462,0.4591339724078678,2.127014835089936,0.6938146002078727,2.211738553255996,0.734262930448667,2.8796800825596733,-8.062538282704928,-8.062538282704928,0.6718781902254106,0.6718781902254106,0.012147779183228694,0.01696537376817992,3.217155195072962
7,7,2.5902562127663913,2.6002433621539893,1.0849762099167448,1.0077349381825071,2.224478459472877,2.93987056475423,0.25198726936982596,2.9620419574235015,1.8574909550402696,0.393779164401755,2.0921715927575164,0.4785028903167101,1.8246802673890417,1.146444415895209,-6.73113085534736,-8.062538282704928,0.5609275712789467,0.6718781902254106,0.0002854913846232408,0.01696537376817992,7.434118444972654
8,8,1.5463176589961452,1.5563048083837432,0.041037656044523134,2.0177615886401306,0.10291245644268286,1.895932010983984,2.3396413694549683,0.8404759547608782,2.867517605967439,2.4814332644868973,1.0482330393548411,1.4885295411419046,2.8347069179486404,0.10250586239055813,-7.285114693765327,-8.062538282704928,0.6070928911471106,0.6718781902254106,0.004389458036503982,0.01696537376817992,4.606792731992364
9,9,1.3425407402850011,1.35252790084847,0.18452734747581645,1.8139846765137533,0.24640214690618678,1.69215509227284,2.1358644508457996,0.9839656452243821,3.0110072965329184,2.624922956020166,1.1917227307861344,1.2847526364661077,2.9781966085141196,0.24599555382185145,-7.10890213587896,-8.062538282704928,0.5924085113232467,0.6718781902254106,0.021952392372626514,0.021952392372626514,7.298962012265683
